Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2021,2021.0,2,2021/02,All other non-drug and non-alcohol causes,O9,615.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-02-01
,"Jackson County, MO",29095.0,2021,2021.0,3,2021/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-03-01
,"Jackson County, MO",29095.0,2021,2021.0,3,2021/03,All other drug-induced causes,D9,92.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-03-01
,"Jackson County, MO",29095.0,2021,2021.0,3,2021/03,All other alcohol-induced causes,A9,23.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-03-01
,"Jackson County, MO",29095.0,2021,2021.0,3,2021/03,All other non-drug and non-alcohol causes,O9,598.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-03-01
,"Jackson County, MO",29095.0,2021,2021.0,4,2021/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-04-01
,"Jackson County, MO",29095.0,2021,2021.0,4,2021/04,All other drug-induced causes,D9,77.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-04-01
,"Jackson County, MO",29095.0,2021,2021.0,4,2021/04,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-04-01
,"Jackson County, MO",29095.0,2021,2021.0,4,2021/04,All other alcohol-induced causes,A9,30.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-04-01
,"Jackson County, MO",29095.0,2021,2021.0,4,2021/04,All other non-drug and non-alcohol causes,O9,580.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-04-01
,"Jackson County, MO",29095.0,2021,2021.0,5,2021/05,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-05-01
,"Jackson County, MO",29095.0,2021,2021.0,5,2021/05,All other drug-induced causes,D9,85.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-05-01
,"Jackson County, MO",29095.0,2021,2021.0,5,2021/05,All other alcohol-induced causes,A9,26.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2021-05-01
